,Date,Open,High,Low,Close,Adj Close,Volume,USDT Marketcap,USDT Volume,USDT Change
1527,2019-09-01,9630.59,9796.76,9582.94,9757.97,9757.97,11445355859,3561592034,29366233015,-0.0009012919451264478
1528,2019-09-02,9757.47,10396.59,9730.65,10346.76,10346.76,17248102294,3556951793,35144330208,-0.0013028558452801153
1529,2019-09-03,10345.73,10736.1,10308.55,10623.54,10623.54,19384917989,3563969410,36781309152,0.001972930027843045
1530,2019-09-04,10621.18,10762.64,10434.71,10594.49,10594.49,16742664769,3563799093,33739513614,-4.778856954334998e-05
1531,2019-09-05,10588.18,10627.27,10516.42,10575.53,10575.53,14551239508,3562012430,27898111315,-0.0005013366223447502
1532,2019-09-06,10578.2,10898.76,10292.3,10353.3,10353.3,19536574783,3565228317,26244293343,0.0009028286855248258
1533,2019-09-07,10353.93,10558.67,10348.92,10517.25,10517.25,15307366476,3561514297,21662890657,-0.0010417341246535816
1534,2019-09-08,10518.11,10595.64,10409.09,10441.28,10441.28,13670567493,3566788495,20662935514,0.0014808863758999369
1535,2019-09-09,10443.23,10450.31,10144.93,10334.97,10334.97,17595943368,3561391945,24449656420,-0.0015129997216165592
1536,2019-09-10,10336.41,10394.35,10020.57,10115.98,10115.98,14906809639,3564613948,19868520825,0.000904703287298636
1537,2019-09-11,10123.04,10215.95,9980.78,10178.37,10178.37,15428063426,3564474189,23760976959,-3.920733129558762e-05
1538,2019-09-12,10176.82,10442.25,10099.24,10410.13,10410.13,15323563925,3565141785,19113516111,0.00018729157923491613
1539,2019-09-13,10415.36,10441.49,10226.6,10360.55,10360.55,14109864675,3567481702,19158935823,0.0006563321015295998
1540,2019-09-14,10345.4,10422.13,10291.69,10358.05,10358.05,13468713124,3565778733,19746511246,-0.00047735886046595954
1541,2019-09-15,10356.47,10387.04,10313.09,10347.71,10347.71,12043433567,3562326505,17756715649,-0.0009681554180720475
1542,2019-09-16,10347.22,10386.87,10189.74,10276.79,10276.79,15160167779,3559922682,21023597738,-0.0006747901958525926
1543,2019-09-17,10281.51,10296.77,10199.74,10241.27,10241.27,15304603363,3562997837,22455074367,0.00086382634531601
1544,2019-09-18,10247.8,10275.93,10191.47,10198.25,10198.25,16169268880,3557012139,23090871333,-0.0016799611658029345
1545,2019-09-19,10200.5,10295.67,9851.69,10266.42,10266.42,19937691247,3567341551,29087301589,0.0029039574778915167
1546,2019-09-20,10266.32,10285.87,10132.19,10181.64,10181.64,14734189639,3561583092,21353352045,-0.0016142157731955376
1547,2019-09-21,10183.65,10188.1,10000.71,10019.72,10019.72,13425266806,3560308643,19171243112,-0.00035783216819018637
1548,2019-09-22,10024.12,10074.44,9922.53,10070.39,10070.39,13199651698,3560059047,20183904895,-7.010515801508799e-05
1549,2019-09-23,10067.96,10074.24,9727.14,9729.32,9729.32,15144925408,3554410705,21295525547,-0.001586586605848539
1550,2019-09-24,9729.32,9804.32,8370.8,8620.57,8620.57,25002886689,3592832841,32311653809,0.010809706358905435
1551,2019-09-25,8603.43,8744.83,8325.4,8486.99,8486.99,21744728353,3566197858,29175515369,-0.007413365491445112
1552,2019-09-26,8487.67,8515.69,7895.63,8118.97,8118.97,19258205289,3567657625,25741383574,0.0004093342708748615
1553,2019-09-27,8113.1,8271.52,7965.92,8251.85,8251.85,16408941156,3566364069,23117659567,-0.000362578513962597
1554,2019-09-28,8251.27,8285.62,8125.43,8245.92,8245.92,14141152736,3570432018,20545325370,0.00114064322130214
1555,2019-09-29,8246.04,8261.71,7990.5,8104.19,8104.19,13034629109,3565873474,19048301856,-0.0012767485774882736
1556,2019-09-30,8104.23,8314.23,7830.76,8293.87,8293.87,17115474183,3566140173,25847527149,7.47920536003921e-05
1557,2019-10-01,8299.72,8497.69,8232.68,8343.28,8343.28,15305343413,3576099659,20854001122,0.002792791510385806
1558,2019-10-02,8344.21,8393.04,8227.7,8393.04,8393.04,13125712443,3571074432,20855089798,-0.001405225659008913
1559,2019-10-03,8390.77,8414.23,8146.44,8259.99,8259.99,13668823409,3567220613,19572961483,-0.0010791763300889157
1560,2019-10-04,8259.49,8260.06,8151.24,8205.94,8205.94,13139456229,3563728743,19298784145,-0.0009788769405723041
1561,2019-10-05,8210.15,8215.53,8071.12,8151.5,8151.5,12200497197,3566839635,18892057466,0.000872931758936657
1562,2019-10-06,8149.88,8161.41,7958.85,7988.16,7988.16,13160830305,3565105666,19605737575,-0.00048613595716084923
1563,2019-10-07,7989.12,8308.45,7905.77,8245.62,8245.62,18009742607,3562270008,25559983804,-0.0007953924134825874
1564,2019-10-08,8246.85,8332.71,8185.76,8228.78,8228.78,15592264032,3561393646,23361854578,-0.00024601223321985
