Date,Open,High,Low,Close,Adj Close,Volume
Nov 11 2017,6618.61,6873.15,6204.22,6357.60,6357.60,4908680192
Nov 10 2017,7173.73,7312.00,6436.87,6618.14,6618.14,5208249856
Nov 09 2017,7446.83,7446.83,7101.52,7143.58,7143.58,3226249984
Nov 08 2017,7141.38,7776.42,7114.02,7459.69,7459.69,4602200064
Nov 07 2017,7023.10,7253.32,7023.10,7144.38,7144.38,2326340096
Nov 06 2017,7403.22,7445.77,7007.31,7022.76,7022.76,3111899904
Nov 05 2017,7404.52,7617.48,7333.19,7407.41,7407.41,2380410112
Nov 04 2017,7164.48,7492.86,7031.28,7379.95,7379.95,2483800064
Nov 03 2017,7087.53,7461.29,7002.94,7207.76,7207.76,3369860096
Nov 02 2017,6777.77,7367.33,6758.72,7078.50,7078.50,4653770240
Nov 01 2017,6440.97,6767.31,6377.88,6767.31,6767.31,2870320128
Oct 31 2017,6132.02,6470.43,6103.33,6468.40,6468.40,2311379968
Oct 30 2017,6114.85,6214.99,6040.85,6130.53,6130.53,1772150016
Oct 29 2017,5754.44,6255.71,5724.58,6153.85,6153.85,2859040000
Oct 28 2017,5787.82,5876.72,5689.19,5753.09,5753.09,1403920000
Oct 27 2017,5899.74,5988.39,5728.82,5780.90,5780.90,1710130048
Oct 26 2017,5747.95,5976.80,5721.22,5904.83,5904.83,1905040000
Oct 25 2017,5524.60,5754.33,5397.88,5750.80,5750.80,1966989952
Oct 24 2017,5935.52,5935.52,5504.18,5526.64,5526.64,2735699968
Oct 23 2017,6006.00,6075.59,5732.47,5930.32,5930.32,2401840128
Oct 22 2017,6036.66,6076.26,5792.34,6008.42,6008.42,2034630016
Oct 21 2017,5996.79,6194.88,5965.07,6031.60,6031.60,2207099904
Oct 20 2017,5708.11,6060.11,5627.23,6011.45,6011.45,2354429952
Oct 19 2017,5583.74,5744.35,5531.06,5708.52,5708.52,1780540032
Oct 18 2017,5603.82,5603.82,5151.44,5590.69,5590.69,2399269888
Oct 17 2017,5741.58,5800.35,5472.72,5605.51,5605.51,1821570048
Oct 16 2017,5687.57,5776.23,5544.21,5725.59,5725.59,2008070016
Oct 15 2017,5835.96,5852.48,5478.61,5678.19,5678.19,1976039936
Oct 14 2017,5643.53,5837.70,5591.64,5831.79,5831.79,1669030016
Oct 13 2017,5464.16,5840.30,5436.85,5647.21,5647.21,3615480064
Oct 12 2017,4829.58,5446.91,4822.00,5446.91,5446.91,2791610112
Oct 11 2017,4789.25,4873.73,4751.63,4826.48,4826.48,1222279936
Oct 10 2017,4776.21,4922.17,4765.10,4781.99,4781.99,1597139968
Oct 09 2017,4614.52,4878.71,4564.25,4772.02,4772.02,1968739968
Oct 08 2017,4429.67,4624.14,4405.64,4610.48,4610.48,1313869952
Oct 07 2017,4369.35,4443.88,4321.05,4426.89,4426.89,906928000
Oct 06 2017,4324.46,4413.27,4320.53,4370.81,4370.81,1069939968
Oct 05 2017,4229.88,4362.64,4164.05,4328.41,4328.41,1161769984
Oct 04 2017,4319.37,4352.31,4210.42,4229.36,4229.36,1116770048
Oct 03 2017,4408.46,4432.47,4258.89,4317.48,4317.48,1288019968
Oct 02 2017,4395.81,4470.23,4377.46,4409.32,4409.32,1431730048
Oct 01 2017,4341.05,4403.74,4269.81,4403.74,4403.74,1208210048
Sep 30 2017,4166.11,4358.43,4160.86,4338.71,4338.71,1207449984
Sep 29 2017,4171.62,4214.63,4039.29,4163.07,4163.07,1367049984
Sep 28 2017,4197.13,4279.31,4109.70,4174.73,4174.73,1712320000
Sep 27 2017,3892.94,4210.05,3884.82,4200.67,4200.67,1686880000
Sep 26 2017,3928.41,3969.89,3869.90,3892.35,3892.35,1043740032
Sep 25 2017,3681.58,3950.25,3681.58,3926.07,3926.07,1374210048
Sep 24 2017,3796.15,3796.15,3666.90,3682.84,3682.84,768014976
Sep 23 2017,3629.92,3819.21,3594.58,3792.40,3792.40,928113984
Sep 22 2017,3628.02,3758.27,3553.53,3630.70,3630.70,1194829952
Sep 21 2017,3901.47,3916.42,3613.63,3631.04,3631.04,1411480064
Sep 20 2017,3916.36,4031.39,3857.73,3905.95,3905.95,1213830016
Sep 19 2017,4073.79,4094.07,3868.87,3924.97,3924.97,1563980032
Sep 18 2017,3591.09,4079.23,3591.09,4065.20,4065.20,1943209984
Sep 17 2017,3606.28,3664.81,3445.64,3582.88,3582.88,1239149952
Sep 16 2017,3637.75,3808.84,3487.79,3625.04,3625.04,1818400000
Sep 15 2017,3166.30,3733.45,2946.62,3637.52,3637.52,4148069888
Sep 14 2017,3875.37,3920.60,3153.86,3154.95,3154.95,2716310016
Sep 13 2017,4131.98,4131.98,3789.92,3882.59,3882.59,2219409920
Sep 12 2017,4168.88,4344.65,4085.22,4130.81,4130.81,1864530048
Sep 11 2017,4122.47,4261.67,4099.40,4161.27,4161.27,1557330048
Sep 10 2017,4229.34,4245.44,3951.04,4122.94,4122.94,1679090048
Sep 09 2017,4229.81,4308.82,4114.11,4226.06,4226.06,1386230016
Sep 08 2017,4605.16,4661.00,4075.18,4228.75,4228.75,2700890112
Sep 07 2017,4589.14,4655.04,4491.33,4599.88,4599.88,1844620032
Sep 06 2017,4376.59,4617.25,4376.59,4597.12,4597.12,2172100096
Sep 05 2017,4228.29,4427.84,3998.11,4376.53,4376.53,2697969920
Sep 04 2017,4591.63,4591.63,4108.40,4236.31,4236.31,2987330048
Sep 03 2017,4585.27,4714.08,4417.59,4582.96,4582.96,1933190016
Sep 02 2017,4901.42,4975.04,4469.24,4578.77,4578.77,2722139904
Sep 01 2017,4701.76,4892.01,4678.53,4892.01,4892.01,2599079936
Aug 31 2017,4555.59,4736.05,4549.40,4703.39,4703.39,1944930048
Aug 30 2017,4570.36,4626.52,4471.41,4565.30,4565.30,1937849984
Aug 29 2017,4389.21,4625.68,4352.13,4579.02,4579.02,2486080000
Aug 28 2017,4384.45,4403.93,4224.64,4382.66,4382.66,1959330048
Aug 27 2017,4345.10,4416.59,4317.29,4382.88,4382.88,1537459968
Aug 26 2017,4372.06,4379.28,4269.52,4352.40,4352.40,1511609984
Aug 25 2017,4332.82,4455.70,4307.35,4371.60,4371.60,1727970048
Aug 24 2017,4137.60,4376.39,4130.26,4334.68,4334.68,2037750016
Aug 23 2017,4089.01,4255.78,4078.41,4151.52,4151.52,2369819904
Aug 22 2017,3998.35,4128.76,3674.58,4100.52,4100.52,3764239872
Aug 21 2017,4090.48,4109.14,3988.60,4001.74,4001.74,2800890112
Aug 20 2017,4189.31,4196.29,4069.88,4087.66,4087.66,2109769984
Aug 19 2017,4137.75,4243.26,3970.55,4193.70,4193.70,2975820032
Aug 18 2017,4324.34,4370.13,4015.40,4160.62,4160.62,2941710080
Aug 17 2017,4384.44,4484.70,4243.71,4331.69,4331.69,2553359872
Aug 16 2017,4200.34,4381.23,3994.42,4376.63,4376.63,2272039936
